No.,body
68,"A pastry chef in Tampa has been arrested on manslaughter charges after he accidentally baked a nude woman into a cake, say Tampa Police.According to police reports, chef Mario Blister was hired to create an extremely large cake that a nude woman could “pop out” of during a bachelor party for a group of about 30 men.“Unfortunately, the baker had the hired stripper come to his shop, and ended up cooking her inside the cake,” said police chief Chris Tanner. “It is a tragic accident, but we have taken Mr. Blister in on involuntary manslaughter charges.”“I don’t know how it happened, honestly,” said Blister. “Diamond came to the shop, and I had her get inside the outer framing of the cake, to make sure it was the right size. I use a massive, oversized walk-in oven. It’s like a firing kiln, custom built, as I do a lot of stripper cakes, and it’s easier to make it all at once. She fit perfectly. I left to get some icing, and when I came back, she was gone. I assumed she had left. Turns out…I was wrong.”Blister says that the cake mold has a clasping mechanism that had somehow gotten latched shut, and Diamond, whose real name is Bambi Limber, was still inside.“Mr. Blister ended up cooking Ms. Limber at 350 for over 25 minutes, before he smelled that something was wrong,” said Chief Tanner. “When we showed up on the scene, it was a disaster. I’d never seen anything like it in all my years on the force. On the other hand, there was a lot of cake to take home, and it was delicious.”"
69,"President Trump has said that he plans to have convicted felon O.J. Simpson to the White House upon his release from prison, which should be sometime in October. Simpson, who has been in prison for nearly 9 years, is reportedly a “good friend” of the President, and Trump has said he has a “special job” for the former NFL superstar and comic actor.“The Juice and I, we go way, way back, and now that he’s getting out, I want to make sure he knows that he will always have a friend here, so I am going to give him a full pardon, and offer him a job on my staff,” said Trump.The President said he plans to completely wipe away Simpson’s prison record, which means he would not have any sort of parole specifications he has to meet, and would be as free as anyone else.“I hope to offer O.J. a job as my personal assistant within the White House,” said Trump. “I strongly believe that it is something he would be great at. I have a lot of special assignments for him.” "
70,"Police are hunting for a person who murdered a young girl while dressed as a “scary carnival clown,” and left her body in the woods.State Police in Maine say that they believe that the “clown” lured the girl to the woods, and set up a camera to film the pre-planned murder. A recording was then anonymously delivered to a police station in Maine, which lead officials to the crime scene.“This clown is still on the loose, and we do not know where they might be,” said State Police Chief Mario Richards. “We have expanded our search from Northern Maine all the way to Massachusetts. Unfortunately, we do not know who we may be looking for, as the person’s features are completely obscured by clown make-up.”Police believe that the clown may have murdered at least 4 other people in the same area, as other crimes under investigation have similar patterns, including greasepaint being found on the victims. The latest victim was a young girl, aged 16-19. They have not yet identified the girl, and are currently seeking help from the public.“This clown is extremely dangerous, as all clowns normally are,” said Chief Richards. “If you see this, or any other clown, please remove yourself from the area and call 911 immediately. This clown has been known to use a knife in its attacks, as well as a sickle. We are unsure if the clown is male or female.”"
71,"George L. George, 62, is the Guinness world record holder for “ugliest man,” a prize that he holds very dear to his heart. But the one record that he holds even more dear, is his number of sexual partners.The Guinness Records Committee has recognized George’s 28,976 sexual partners as the most in history.“It’s really kind of amazing that they’re recognizing me for my two greatest accomplishments, my dashing looks and my massive sexual conquests,” said George, who lives in an abandoned shack in Connecticut. “It’s been a long time coming for me, I’d say.”George says that he has “always looked this way,” and that he had his first sexual encounter when he was 3.“It was a babysitter, as it often is,” said George. “She wanted me badly. I gave it to her. Never stopped giving it to them.”George received both of his Guinness awards via general post delivery, and says he has plans to display them on his toilet."
72,"Singer Beyoncé and her husband, entertainment mogul Jay-Z, officially announced the birth of their children yesterday, surprising the world by releasing a photo of sextuplets.“We are extremely happy to welcome to the family our SIX NEW BABIES!” said Beyoncé in an instagram post, accompanied by a picture of the little ones, which she said are all happy and healthy. “We are so #blessed.”The names of the children have not been released, but Jay-Z said in a social media post that all the babies and mom are “doing great.”"
73,"A modern medical marvel has occurred in Massachusetts this week, after a woman gave birth to a healthy, 7lb 4oz baby boy. The marvel, you ask? The woman, 28-year-old Maria Piers, has not had sex in 7 years.“I know this sounds extremely strange, but I know the precise moment that I last had sex, and that’s because it was, for all intents and purposes, a rape,” said Piers.According to police reports from the time, Piers filed charges against a man named Robert Smalls, who she says would not stop having sex with her after she told him to stop.“I did tell him it was okay, but I didn’t like it. He wasn’t gentle, and it hurt. I told him to stop and get off me, but he just laughed, and staid he wasn’t going to stop until he was done,” said Piers. “And he didn’t.”Smalls was arrested and given 4 years for aggravated sexual assault, but Piers is terrified that now she’s going to have to deal with him again.“He’s obviously the dad,” said Piers. “I don’t know how this happened, I really don’t. But I’m absolutely sure that I haven’t had sex. I haven’t even kissed a man since that night. This is both exciting and extremely terrifying for me.”Doctors say they are at a loss for how this happened, but they could confirm that the baby, who Piers has named James, had a gestation period of about 360 weeks. She has been asked to stay in the hospital for continued testing and observation."
74,"A 3-month-old baby has been taken into custody in Boston after he broke a priceless vase at the Natural History Museum on Tuesday.Police say the baby, who has in a stroller being pushed by his mother, reached out and knocked over a 4-foot tall vase, which instantly shattered when it hit the floor.“We tried endlessly for over 15 hours to put everything back together, but we could not,” said H.T. Dumpty, the museum curator. “This piece was worth well over $600 million dollars. It was practically priceless, and a one of a kind piece from the Ming dynasty. There are no others like it, and we are extremely frustrated with this baby for ruining something so precious and valuable.”The baby’s mother, Francine Thompson, said she was “appalled” that her son would do such a thing.“I was pushing him along, and looking at all the beautiful pieces. I wheeled little Joey right up near the vase, and pointed to it and was reading him the card telling about its history, when all of a sudden he reached out and pushed it over. It smashed everywhere, and he just laughed and laughed. I was in shock,” said Thompson. “I hope they throw the book at him, and give him as long as possible.”The baby is one of the youngest people ever arrested. He is being charged with felony destruction of property and felony trespassing. If convicted, he could receive up to 20 years in prison."
75,"Representatives for Lovelock Correctional Facility in Nevada have responded to questions about OJ Simpson, who has been incarcerated in their facility since 2008, after news was leaked that Simpson killed during a prison-wide talent show that featured inmates and guards alike.“It is absolutely correct that OJ Simpson, better known around the prison as Juice, absolutely killed during his stand-up comedy routine,” said Lovelock warden Derek Hughes. “He really was hilarious, and he had the whole crowd in stitches the entire time. He performed for maybe 15 minutes, doing totally original material. I seriously had tears rolling down my cheeks. It really was a throwback to his comedy days. You remember those Naked Gun movies? Oh man, those are my favorite films. He was hilarious then, and he’s hilarious now. I hope he gets out in time to make a cameo in the remake they’re working on.”“I absolutely love performing, and it was great to get up there, have a little fun, and make everyone laugh,” said Simpson. “There are two big loves in my life, and that’s sports and comedy. I hadn’t yet been able to really do much comedy since I’d been in prison, but I am thankful that I’ve been able to coach and mentor some of the younger inmates and help them in their games. We have some great fields and facilities here. I want to thank everyone for the kind words about my stand-up performance. It means a lot.”Simpson is eligible for parole in October, with preliminary parole hearings scheduled to begin in July."
76,"Taking a break from promoting his latest movie, Baywatch, former WWE wrestler and the world’s highest paid movie star, Dwayne Johnson, announced that he has come to a decision about running for President of the United States.“I’m all in!” said Johnson to a reporter for Entertainment Weekly. “I’ve been giving it tons of thought. At first it was kind of a gag, and I jokingly made like I was interested. But as more and more young people approached me and asked me about it, I began to realize that I could really make a difference. We need a new…we need a better president. Someone who will listen, and make the right kind of waves. I’ve got the money to run.”When asked where he stood on specific issues, Johnson said that he would “get into that” at a later time.“I am a Republican, and I do have some conservative values, but I’m about the people, and helping people, and that’s what it should be about,” said Johnson. “I don’t think we need to make America great again, because the country is great, it always has been. I think what we need is to join people together. I think there are people who need to be made great again. That’s what I want to do.” "
77,"In what will be the quickest turn around for a remake in Hollywood history, Disney has announced plans to begin shooting a remake of their popular 2016 Star Wars: The Force Awakens.“We made such a huge pile of money from that film, but there is always more to milk out of people,” said Disney spokesman George Richards. “We didn’t spend a billion dollars buying this property to let it sit. The script is being re-written, and the cast is being chosen as we speak. It’s going to be huge!”The remake, which will be shot concurrently with the other films currently in production in the Star Wars universe, begins shooting this summer, with plans for a late 2018 release date. It will be the quickest any film has ever been remade by a major Hollywood studio.“We are looking forward to re-breaking records with this release,” said Richards. “People say we’re out of ideas, but we’re not out of ideas – we just like to do the same things over and over again because people don’t like change! It will prove that undoubtedly when this movie goes on to make billions at the box office.”"
78,"A rock concert held last week in Maine now holds the Guinness World Record for the most overdoses on drugs at any public event.According to the Guinness Records department, a reported 387 people overdosed, and 196 of those lead to death, at a recent concert in the small Northern city. The event, which featured a performance by a “world famous rock act,” according to police, had an estimated 15,000 people attending.“In comparison to the number of attendees, th3 fact that there were only 387 overdoses seems comparatively small, I know,” said event organizer John Maynard. “But we really struggled to reach that number. It’s against the rules for the show to hand out or sell heavy narcotics just to hit the world record, and we definitely didn’t want to spoil our chances.”For those who attended the concert, they said it was “just another night at a rock show,” and that most people didn’t even notice the violent convulsions, vomiting, or people passing out.“The show was too good for me to even care, dude,” said Kyle Chaplin, 26. “I heard that a shit ton of people OD’d, and that a bunch died, too. That sucks for them, seriously. But like, it’s a rock show man. Shit’s bound to happen. Cool thing was that as soon as people started passing out and shit, it made it really easy to get up front into the good seats.”Police say that the next event they will “loosen security” in hopes that they can move the record even higher. The next biggest number of overdoses was at Lollapalooza 1997, when 264 people OD’d. In that case, only 75 ended up dead."
79,"A new disturbing trend is on the rise throughout the United States, specifically among “gothic” teens – snorting the blood of friends in an effort to “become one” with them.“It’s a new thing kids are doing – not to get high, but to has some sort of internal bond with their close friends or significant other,” said New Brighton Hospital Chief of Staff, Dr. Marvin Reece. “The problem becomes, though, that these kids are not thinking about the consequences, or the danger that can come from snorting any liquid – especially blood.”Dr. Reece says he has treated more than a dozen cases of “blood poisoning,” where a teen has literally cut open their friend or boyfriend/girlfriend, and snorted the blood that dripped from the wound.“Unfortunately, two of the teens have died. This is a serious issue, because aside from blood-borne diseases, there is also the very real risk – and I know how silly this sounds – of drowning in blood when they do this. It’s a liquid going into your lungs, after all.”Teens are urged to not try and snort anything, but “especially not blood,” says Dr. Reece. “If you’re going to snort anything, please – just go back to the good ol’ normal stuff, like heroin and cocaine. Maybe some crushed adderall. Whatever you kids did before. Just stop snorting each other’s blood, okay?”"
80,"Latifah Brown reportedly called 911 and told the operator that she had “a baby stuck in her vagina.” The operator dispatched an ambulance with the report that a woman was having a home birth.The paramedics who were dispatched say they were surprised when they arrived to the home and saw what was actually happening. Brian Whitmore, the lead paramedic on the scene, related the incident in an interview with WCNN News8Now:“The little boy wore a diaper and pyjamas, but he had his legs and abdomen stuck up inside the woman’s vagina. It was horrifying and hilarious. Horrifying because the baby was screaming, but hilarious that this woman had a toddler hanging out of her cooter.”The paramedics tried to release the child while still in the home, but Brown’s vagina was reportedly “too clenched,” and the pair were taken to a local hospital, where doctors spent nearly two hours surgically removing the child from Brown’s vagina. Dr. Gene Larkin, who performed the surgery, was also interviewed by WCNN:“I don’t know how she got the child in there! We tried pulling him out, but it didn’t work. It appeared that Brown’s vagina, not use to anything being inserted into it, had clenched down on the poor baby to the point that we literally had to use the Jaws of Life to get him out.According to the doctors, Brown’s vagina has been “completely destroyed” by the act, and they are doubtful that any number of surgeries could fix the damage. The young boy suffers from a dislocated hip, but doctors say that because of his age, he should not see any long-term effects.Brown was interrogated by police, and eventually confessed to deliberately inserting the child in her vaginal cavity, because she was barren, and just wanted to know what it would feel like to “give birth.” Brown faces a total of 11 criminal charges, including aggravated child neglect causing bodily harm, and faces up to 65 years in prison if convicted."
81,"A 28-year-old Boston man, who doctors call Mr. Fidgets, was hospitalized today for emergency surgery after the emergency room attending physician discovered a fidget spinner lodged in Mr. Fidget’s rectum – the 37th time they’ve treated him for the same incident.“When he came in the first time, we kind of laughed about it,” said Dr. Mario Lambert of Boston Medical Center. “He couldn’t really explain how it happened and, frankly, we didn’t ask too many questions. Then it happened again, about 2 weeks later. Again, we didn’t really press. By the time it happened 14 and 15 times, well, we just stopped caring.”Dr. Lambert says that he believes that Mr. Fidgets is trying to insert the toy, commonly used by children with ADHD, for sexual gratification, because he likes to have his partner insert it, then try to spin it while it’s inside.“I can’t say that it would do a thing for me, but hey, to each their own,” said Dr. Lambert. “Problem is, this guy really needs some psychological help, but he hasn’t broken any laws. He’s an adult, and he pays his hospital bill in cash. I don’t know who this guy is or what he does for a living, but I tell you – his kinks are off the charts.”"
82,"A ship that has been missing for over 90 years has reportedly docked in a Cuban harbor, the Cuban Coast Guard says.The SS Cotopaxi, which has been lost at sea and all on board listed as deceased, made its miraculous return after going missing in 1925, one of the first ships that helped launch the legend of the Bermuda Triangle.“We have no idea how or why the ship vanished, and we are even more confused at how it turned up today,” said Coast Guard chief Manuel Ferrara. “Even more bizarre is that everyone on board was alive, well, and hadn’t aged a bit. It’s a marvel of the seas, as it were. We’re just beginning to put this puzzle together.”So far, all 43 members of the ship’s crew, as well as the captain, have been detained in a Cuban institution to be questioned and observed. The Coast Guard says they will work with authorities in other countries, including the United States, to solve the “mystery.”"
83,"Seventeen pre-teens, aged 11-15, are dead after a massive fight broke out at a Lynn, Massachusetts middle school over the latest craze, fidget spinners.According to police, several children began arguing about whose fidget spinner was “the best,” and several others began pestering the first group for being “super gay,” and having fidget spinners in the first place.“Before you knew it, we had 60 or 70 kids just attacking each other,” said Darlene McDonald, a 7th grade teacher at Lynn Middle School. “Fidget spinners were being thrown everywhere – I saw one kid take his fidget spinner between his fingers like a pair of brass knuckles, and beat another student in the face repeatedly until one of his eyes simply popped out of his head. It was gruesome, and the most disturbing thing I’ve ever seen. But if they think I’m getting involved in this shit at $14 bucks an hour, they can get real.”Police were called to break up the melee, but by the time they arrived, 13 students had died, and another 24 were injured. Another 4 died later on due to sustained injuries.“We had tried to ban fidget spinners in the school, but the parents, they lobbied to bring them back,” said Principal Grace Marlins. “So we let them play, knowing full well the dangers. I cannot believe that something like this happened over a $1 piece of plastic. Sad thing is, the parents still won’t let us ban them – they just want everything monitored better. It’s crazy.”Fidget spinners are quickly become a problem in many classrooms throughout the country, with teachers calling them a “distraction” and a “time waster.”“This just proves how dangerous they really are, though,” said McDonald. “We went through a lot of phases in my days as a teacher – slap bracelets, pogs, and then cell phones, of course. But this is the first time I’ve ever seen kids beat each other to death over a fad. This world has gone truly crazy.”"
84,"A former Hell’s Angel motorcycle gang member recently gave an interview about his time in the club, and revealed a little more than the interviewer probably anticipated when he was questioned about the “wave” that bikers give each other when passing.“That’s a gay thing, totally,” said the biker, who was interviewed for Viceland on the Vice TV channel. “It started probably 40 or 50 years ago, back when most bikers got into the clubs to hide their homosexuality. Waving when you passed another guy on a motorcycle was a sign that you were available, and ready for a meet-up later at any number of local motels. If the person waved back, then you knew the meeting was on.”He did go on to say that the waving had “lost a lot of its original meeting,” but that you will still find old bikers who like to get out of their leathers and romp around on the bed with other guys.“It’s actually more common than you think, but really, it’s also quite accepted now,” said the biker. “We’re all-inclusive. We used to be hardcore about only letting in certain people, but we have plenty of openly gay members now. I’m cool with it, for sure. But the waving, yeah – if you’re doing that still, you should know that an old-school biker might show up at your hotel door in the middle of the night and expect a quick mouth service.”"
85,"A death row inmate, 39-year-old Bryan Bryant, who was found guilty of murdering 18 people in the early 2000s, reportedly requested to have a “human cadaver” as his last meal. Maryland law dictates that an inmate can ask for anything they would like to eat, and it will be served. The law does not get specific enough to say that the item must be a “normal” food item, or create provisions that would not allow certain things to be requested.“Mr. Bryant requested to eat an entire human as his final meal before execution, and the Maryland Board of Prisons was able to prepare his request for him,” said warden Joel Higgins. “It was an odd request, for sure, and we had several protestors who said it was not a ‘good use’ for a body that was donated to science, but in the end, Mr. Bryant’s rights and wishes were not impeded.”According to Higgins, they procured a recently deceased 47-year-old female, who died of a heroin overdose. Her name was not released to protect her family from embarrassment. Bryant was executed on Friday via lethal injection."
86,"After a series of memes was released online comparing the scientific background of TV host Bill Nye (“The Science Guy”) and action star Dolph Lundgren, Netflix has decided to replace Nye on his own show, Bill Nye Saves The World, with Lundgren.“We really wanted someone who knew what they were talking about, from a scientific perspective, when we decided to create this series,” says Netflix representative Mario Jones. “After it went online, though, many people began to complain that Nye was not qualified to host a series, at least not compared to Dolph Lundgren. We found it odd, but if there’s one thing Netflix does right, it’s create shows people want to watch.”To their credit, the internet is mostly right. Dolph Lundgren, best known for roles in the Rocky franchise and in The Expendables films, both co-starring Sylvester Stallone, does have an impressive scientific background, with multiple degrees in varying sciences. Lundgren, whose IQ is 160, says he is “excited” to host the show, but sad for Bill Nye.“I don’t know the guy, he seems alright. He hosted a show for a long time, but back then, there was no internet, so it was hard for people to be so vocal and critical,” said Lundgren. “I hope that when I take over the show for the next season, people will be happy with the information, and find me qualified to deliver it.”The series will be renamed Dolph Lundgren Punches You In The Face With Science when it returns in 2018."
87,"Two Missouri parents were horrified to discover their babysitter had taken acid while watching their child, after they found the remains of their three-month-old child cooked in the oven.Police Officer Dwayne Jacobs was the first on the scene, and found a “very confused” and “incoherent” babysitter lying half-conscious in the family’s living room.Anna Doreen, the 17-year-old babysitter, claims she had bought some acid and “only took a few tabs” before she became “overly confused” and “extremely hungry.”“I just took a few tabs  because I was bored and the baby was sleeping,” she later told Officer Jacobs. “I remember that I started getting really hungry, ate some chicken wings, and passed out.”The 3-month-old child was found in the oven, covered in barbecue sauce, and was pronounced dead at the scene.“It appears she tried to cook him in the oven, but did not time it long enough to completely cook him. She was probably disoriented and lost consciousness moments later,” explained Sheriff deputy James Anderson of the Jefferson County Police Department. “Teeth marks were found on the baby’s arms and legs. Ms. Doreen has been taken into custody and is facing second-degree murder charges, as well as drug-related charges.” "
88,"Dale Kyle, 40, was recently hospitalized after he says he put his 1887 Colt Peacemaker into his anus, thinking it was the “safest place” for it to be.According to doctors, Kyle put the gun in his own ass because his house has been robbed over a dozen times in a matter of 5 years, and in several of those instances, his entire gun collection was taken.“Basically, the only place a gun is safe is when you’re carrying it,” said Kyle. “But I sleep naked, and I don’t want anyone sneaking up on me while I’m in my birthday suit. So I figured the best thing would be to just slip it on up. I thought if I had it handy, I could push it out at a moment’s notice, just in case.”As Kyle found, though, the rectum is not designed for entry, and things can easily become lodged.His doctor, Kristopher McKenna, says that this is not the first gun he has seen wedged into a middle-aged man’s derrière.“Men in their 40s to 50s, they like to stick things in their ass,” said Dr. McKenna. “I don’t know why, I never went through that phase myself. I think it’s a southern thing, and I was raised in New York. Either way, this isn’t the first time I’ve pulled something out of some dude’s ass, and it no doubt won’t be the last.”"
89,"During an impromptu press conference at the White House, President Trump answered questions about his first 100 days in office, and also briefly joked with reporters about some of his favorite things about living in Washington D.C.“The White House has an incredible sound system,” said Trump. “My favorite band has always been Nickelback, because I am a Leader of Men, and because their song How You Remind Me is a triumph of modern rock. Now that I live in the White House, I crank them through the building’s awesome surround sound. I can walk from room to room, and just keep listening. It’s amazing.”For years, the Canadian rock act has been the butt of internet jokes, with most people referring to them as the worst band of all time, despite being one of the biggest selling music acts in history, and regularly selling out arenas around the world.President Trump is the first person to ever admit publicly that they are a favorite band."
90,"The new series from Netflix, 13 Reasons Why, which deals with the aftermath of a young teen who commits suicide, has apparently ‘triggered’ thousands of teenagers across the country to kill themselves.“It’s shocking, really, that our little girl killed herself,” said Mary Lambert, 50, a mother of three whose oldest daughter, 19-year-old Alyssa killed herself last week. “We didn’t know she was even watching the show, let alone depressed in the first place. It’s really just the pits.”Netflix says that the show is not designed for children and teens, but many kids have reported watching it anyway.“I wasn’t really depressed before I watched the show, but then as I watched, I saw how much everyone actually cared after the girl killed herself, and I was like ‘Damn!’,” said Hannah, age 15. “I didn’t kill myself, at least not yet. Depends on how the show keeps going. I’m only like 5 episodes in.”Many people are saying that it is “irresponsible” of Netflix to provide such content to teens, and not even offer a warning or a resource label with 800-numbers or websites that can help, much like other shows and movies have done that deal with heavy subjects.Netflix says that they’re “very sorry” to hear that so many teens are killing themselves after watching the show.“It’s a shame that teens are taking the wrong message from our show,” said Netflix spokesman Kyle Chandler. “It’s even worse for them now, because we just confirmed that we are going to continue the story with a season 2.”"
91,"Mark Henry, a registered sex offender who has been convicted more than a dozen times for crimes against teens and children, says he is “very upset” that no one plays Pokemon Go anymore.“I used to be able to meet tons of little kids, because everyone was playing it, and now the only people I’m meeting are other pervs who are out looking for kids, too,” said Henry. “It’s stupid. I wish they’d make a new game I could use to track kids.”Pokemon Go was the most popular mobile game of all time, with hundreds of millions of downloads – but that was last year. Since the release, users have stopped playing in droves, with an average of only 3 or 4 people still playing in any given town on any given day.“Last summer, kids were everywhere, and now, they haven’t been anywhere,” said Henry. “Plenty of Squirtles are out there, but no kids. I’m suffering, here.”The game would allow players to catch Pokemon in the “real world” using augmented reality. Many players worked together to “Catch ’em all.”"
92,"Country legend Loretta Lynch, best known for her his song The Coal Miner’s Daughter, says she is “sick to death” of getting hate mail, emails, and tweets aimed at former Attorney General Loretta Lynch.“I don’t know the woman, but Republicans apparently hate that bitch,” said Lynn, 84. “I get hundreds of emails and tweets each day, confusing me with her. I don’t know why. I sing music, she’s just some black attorney. I don’t see the connection.”Former Attorney General Loretta Lynch, who was appointed by Barack Obama, has never been liked by Republican voters, but has recently been in the news for Republican reports that she is tied to a Clinton scandal.This is not the first time that celebrities have been confused for one another. Rachel Roy was allegedly the woman referenced as having an affair with Beyonce’s husband, and many Beyonce fans attacked TV personality Rachel Ray via twitter. Adam Sandler often gets hate mail that should be directed at Gilbert Godfried, also. Although he reportedly also gets plenty of his own as well."
93,"Police were recently tipped off to a reported meth lab that was being run by Walmart employees in what they are calling one of the biggest busts in decades.Police Chief Robert Garner said that an anonymous tip was left on their drug hotline, expressing concern about a horrible burning smell that was coming from the back of the Decatur WalMart facility. When an officer was sent to investigate, the store was instantly shut down as he discovered a meth lab that took up the entire back room.“The thing was massive, and contained enough materials to make hundreds, if not thousands, of pounds of crystal meth,” said Chief Garner. “Apparently, every employee in the store was a part of it, from working with and gathering materials, to cooking, to selling it outside of the store. It was a full, massive operation.”No one from Walmart’s corporate office was available for comment, but an unofficial spokesperson did say that they were “disappointed” that they weren’t able to use their company discount to get meth before the place was shut down."
94,"48-year old Henri Paul Johnson was killed last week after he was accidentally cremated during a long shift at the Coroner’s Office Morgue.According to police, Johnson took a nap on a stretcher after working over 16 hours, and was mistaken for another man who was killed in a car accident, and scheduled to be cremated.Jena Davis, who was not the co-worker who cremated Johnson, says they heard him scream for a moment, but didn’t know where the sound was coming from.“At first, we didn’t understand where the sound was coming from. When we realized what was happening, it was too late. We shut down the heating system, but he was already dead.”Davis says that Johnson was exposed to temperatures of well over 1500 degrees Fahrenheit, and there was nothing that could have been done. A new employee, who had forgotten to check the toe tag on the body before proceeding, was blamed for the accident, but no charges have yet been filed. "
95,"Chuck Berry, the man that many people say originated modern rock ‘n’ roll music, was reported as having passed away at the age of 90 by mainstream media, and the topic was trending on Facebook and other social media sites by mid-day Saturday. As it turns out, though, the reports were false.“Chuck is still alive and kicking, albeit with a lot less force than a few years ago,” said a friend of Berry’s, Marvin Richardson. “I was just hanging out with him last night. He played a few licks on the guitar for me, and he got a good laugh out of the fact that everyone thought he was dead. He said he was only taking a nap!”Berry, who has a career that spans over 60 years, is the latest in what some people would refer to as a “death hoax,” but in this case, it seems that Berry is in good spirits about it and doesn’t think it was a traditional hoax.“I don’t think anyone said I had died on purpose to fool people,” said Berry. “I think that my family, my friends, and even my doctors really thought I was dead. I do sleep really, really soundly, and sometimes I think my heart may actually be stopping. I guess this just confirms it.”Berry will perform his 300th concert at Blueberry Hill next month, assuming he hasn’t died for real by that point."
96,"A woman living in a village in Uganda has been confirmed to be over 200-years-old by genealogists, researchers, and archivists who have looked into the woman’s lineage.The woman, who does not remember her own name, is officially the oldest person to have ever lived. She was born in the same village in Uganda she currently lives, and says she has “never left.”“I have lived long, I am tired. I have never gone away, this is what I know,” she said. “I am happy to be here. I am not happy to be so old. Wish I was dead. All my family, they are dead. I have had 18 children, 47 grandchildren, and 163 great-grandchildren, and they are all gone now. I’m sad. Kill me, please.”Researchers say that they have “no idea” how it’s possible that she has lived so long, but have confirmed through genetic testing that she is, indeed, 204-years-old, having been born in 1806."
97,"A couple has been arrested after it was reported to CPS that they were using their infant son as a “canvas” to practice their tattooing.Kyle Bruce, 28, and his girlfriend, Felicia Rogers, 22, were taken into police custody after a neighbor in their apartment building heard “hours of a baby crying, and tattoo machines running.”“Mr. Bruce and Ms. Rogers were arrested after we discovered that they had purchased tattoo equipment from the internet, and were practicing on their baby, 7-month-old Caleb,” said Police Chief Rick Simmons.In Maine, purchasing and using tattoo equipment without a license is a criminal offense, and the couple added to their crimes with felony assault and endangerment of a minor.“Their apartment was disgusting, and the child is lucky that he did not get an infection,” said Chief Simmons. “I have confirmed with doctors that Caleb is going to be okay. Sadly, he is just going to be stuck with really bad tattoos as if he were perpetually stuck in the 90s – birds, tribal tattoos, and a tear drop.”"
98,"Danielle Bregoli, better known as the “cash me outside” or “catch me outside” girl who was made famous by her atrocious behavior and fake street-girl accent on the Dr. Phil Show, has been revealed to be an actor, 45-year-old Danny Meyers.Meyers is a YouTube sensation, who said that he started the character of Danielle on his channel, and it didn’t really catch on.“When I took her to national TV, that’s when this entire thing really started to pay off,” said Meyers. “I really didn’t think it was going to blow up like it did, but it ended up being hilarious.”Meyers is known for his extensive pranks and characters from his YouTube series, Pranks and Characters, and he says the character of the “cash me outside” girl just came naturally.“I used to watch me sister and her friends get ready for a night on the town, and they ended up just spending the whole time putting on too much makeup and talking shit about boys and trying to act tough,” said Meyers. “I come from Stamford, Connecticut. There is nobody hard in Connecticut.”Meyers appeared on the Dr. Phil Show twice as Danielle, and even went through an entire 3-week course at a camp to deter wayward youth.“Being on that ranch was tough, I’m not going to lie. There were several times I wanted to give up, tell them it was all a joke, and move on,” said Meyers. “But I stuck it out. I figured I owed Dr. Phil that much for making me famous.”There was no comment made from Meyers about who played Danielle’s mother on the Dr. Phil Show, or if he plans to retire the character now that he has outed himself."
99,"The “Finger-Chop Challenge” has begun to spread across social media, with teens and college students reportedly cutting off their fingers in an effort to raise awareness about the “evils of Donald Trump” as President.“Trump is a disgusting, sick, orange bigot,” said Maria Lambert, 19, a college sophomore at Dartmouth. “I chopped off all of my  fingers on a livestream on Facebook. I left just the middle finger on one hand, because fuck Trump, that’s why.”Following in a dangerous trend of challenges like the cinnamon or milk gallon challenges, the new finger-chop challenge opens up an entire new world of issues for parents, as well as the teens stooping to such ignorant levels.“My son has done the challenge 4 times, and each time, he’s cut off a new finger. He’s down to just the pinky on his left hand,” said Carl Lunger of his son, Mario Lunger, 17. “Frankly, though, I’m proud of him. He’s taking a stand against Trump, and he’s also raised a lot of awareness about Trump. Last I knew, he had over 300 views on his YouTube video.”Health officials are warning parents, though, of the dangers of their children cutting off their own fingers for internet notoriety. "
100,"A 32-year-old woman, Maria Astrana, was convicted in late 2014 of cannibalizing three of her six children, and sentenced to life in prison. Surprisingly, Astrana was released from jail today after serving just slightly over two years, thanks to a bizarre technicality and typing error.According to lawyers, Astrana’s sentenced was cut drastically short when they filed a motion to dismiss based on a typo in her official court documents.“Ms. Astrana’s officially written sentence was typed as ‘lif (sic) without parole,'” said her lawyer, Darius Marques, Esq. “Because of this, we took her case to a new judge, who found that her sentence could not be completely verified, and as such she would be let out of prison.”Outrage over the decision has already begun spreading across social media, with many calling out the Governor of Arizona for allowing this to happen under his watch.“I can’t even walk across the street outside of a crosswalk without getting a ticket, and this bitch can eat some of her kids like she’s a wild animal, and only serve two years?” said Phoenix resident Alexandra Jones. “This is crazy. They might as well just do away with laws all together. The hell with it.”Astrana says that she has already consulted with her old job, and they plan to offer to give her back her old position. She previously worked at the Lil’ Tykes Daycare center in Phoenix."
